Number	qtype	Al	Ti	Li	Ge	Sr
179	pegmatite	537.2	2.3	117.5	8.3	0.06
181	pegmatite	372	1.3	74.7	8	0.02
184	pegmatite	97.3	14	23.1	2	0.06
189	pegmatite	162.4	15.9	30.5	1.7	0.02
190	pegmatite	137.7	17.7	26.4	1.6	0.02
191	pegmatite	132.4	14.3	28.5	1.7	0.06
195	pegmatite	189	14.4	37.6	1.8	0.04
197	pegmatite	137.7	15.9	30.2	2.2	0.09
198	pegmatite	116.4	11	30.6	2.1	0.08
199	pegmatite	104.5	10.6	29.9	2.5	0.04
200	pegmatite	152.6	9.7	23.9	2.7	0.05
206	pegmatite	395.5	2.2	124.8	11.3	0.06
207	pegmatite	543.5	2.4	264.8	11.4	0.06
208	pegmatite	565.1	2.5	143.4	8.1	0.04
210	pegmatite	91.7	12.7	15.7	2.4	0.04
212	pegmatite	145.3	15	19.2	3.2	0.05
213	pegmatite	188.9	19.2	16.8	4.7	0.12
214	pegmatite	241.4	17.6	14	6	0.03
215	pegmatite	206.5	13.2	17.3	5.7	0.24
216	pegmatite	52.2	7.6	11.1	1.1	0.04
219	pegmatite	8.3	14.5	6.4	2.3	0.07
220	pegmatite	40.2	24.1	8.1	3.2	0.11
221	pegmatite	32.7	17.2	6.8	2.6	0.02
222	pegmatite	123.2	14.4	37.3	2.2	0.09
223	pegmatite	136.2	15.1	39.1	2.5	0.09
224	pegmatite	154.1	16.4	37.3	2.3	0.1
228	pegmatite	111.5	13.9	31.8	2.4	0.07
229	pegmatite	118.7	17.9	34.2	2.7	0.04
230	pegmatite	134.2	17.6	32.1	2.9	0.02
231	pegmatite	127	7.2	31.2	2.7	0.03
232	pegmatite	135.4	10	35.2	2.4	0.03
233	pegmatite	106.8	6.7	33.9	1.7	0.02
238	pegmatite	311.2	14.2	47	2.4	0.04
247	pegmatite	254.7	10.9	90.1	2.7	0.07
249	granite	232	7.1	4.6	1.08	0.19
250	granite	236	9	14.3	1.12	0.1
251	granite	132	8.6	14.1	2.91	0.06
252	granite	333	9.4	11	1.65	0.16
253	granite	212	6.7	9	1.84	0.17
254	granite	284	5.9	17	1.26	0.2
255	granite	313	5.8	19.2	1.6	0.2
256	granite	295	9.1	14.8	1.35	0.07
257	granite	299	5.2	23.5	1.53	0.08
258	granite	243	8.5	18.3	1.48	0.09
259	granite	258	5.7	26	1.65	0.08
262	granite	220	7.4	42.2	2.07	0.06
263	granite	211	4.8	65.1	2.71	0.07
265	granite	324	7.3	44.8	2.5	0.1
273	granite	205	10.1	16.5	1.45	0.07
278	granite	107	18.2	4.5	1.46	0.11
279	granite	127	15.9	12.8	1.01	0.16
280	granite	235	16.7	18.7	1.21	0.07
285	granite	132	19.4	26.8	0.95	0.06
287	granite	197	20.5	9.2	1.1	0.08
288	granite	310	34.1	14.9	0.72	0.07
289	granite	141	23.2	9.8	0.85	0.06
290	granite	117	27.7	15.5	1.01	0.07
291	granite	109	29.2	19	1	0.07
292	granite	149	20.8	12.2	1.19	0.09
294	greisen	35	0.41	0.88	0.87	0.06
296	greisen	32	0.44	6.01	0.9	0.08
297	greisen	35	0.22	4.77	1.13	0.06
298	greisen	40	0.22	5.94	1.09	0.07
299	greisen	75	0.46	10.8	1.17	0.08
300	greisen	79	0.44	11.8	1.24	0.07
301	greisen	43	0.42	11.9	1.18	0.07
302	greisen	90	0.41	9.53	1.16	0.07
303	greisen	82	0.51	6.69	1.11	0.06
304	greisen	52	0.14	5.51	1.13	0.07
305	greisen	35	0.1	1.49	1.05	0.08
306	greisen	5.6	0.31	0.36	0.94	0.06
308	greisen	38	0.23	4.85	0.81	0.05
309	greisen	46	0.39	4.75	0.92	0.05
310	greisen	111	0.46	3.18	0.96	0.07
311	greisen	70	0.56	6.57	1.28	0.06
312	greisen	119	0.22	3.89	1.02	0.05
315	greisen	108	0.37	3.37	1.26	0.05
316	greisen	78	0.84	3.41	1.13	0.05
317	greisen	24	0.3	2.01	0.96	0.08
318	greisen	36	0.34	3.59	0.84	0.05
319	greisen	44	0.44	4.2	0.79	0.05
320	greisen	42	0.24	4.5	0.87	0.06
321	greisen	37	0.46	1.46	0.88	0.05
322	greisen	49	0.48	0.52	0.76	0.06
323	greisen	24	0.3	0.19	0.71	0.05
324	greisen	26	0.42	0.23	0.7	0.04
325	greisen	25	0.28	0.53	0.78	0.04
326	greisen	28	0.31	5.74	0.83	0.05
327	greisen	37	0.18	5.6	0.82	0.05
328	greisen	38	0.18	5.75	0.81	0.05
329	greisen	42	0.28	7.58	0.84	0.04
330	greisen	85	0.52	8.84	0.86	0.05
331	greisen	69	0.47	9.22	0.92	0.06
332	greisen	68	0.5	8.98	0.96	0.06
333	greisen	68	0.51	6.92	0.94	0.05
334	greisen	21	0.45	3.33	0.96	0.05
336	greisen	60	0.53	1.61	1.03	0.05
340	greisen	57	4.53	7.78	1.2	0.13
341	greisen	102	0.33	12.4	0.88	0.05
342	greisen	105	16	6.94	1.45	0.07
343	greisen	108	12.8	5.53	1.73	0.08
344	greisen	105	0.34	0.41	1.03	0.29
345	greisen	98	0.35	1.27	1.01	0.1
346	greisen	115	16.6	7.82	1.77	0.08
347	greisen	91	12.2	8.98	1.47	0.09
348	greisen	21	0.39	1.94	0.86	0.06
349	greisen	89	0.34	5.56	1.08	0.09
350	greisen	43	2.65	0.5	1.06	0.14
351	greisen	11	0.3	2.91	1.12	0.12
352	greisen	43	4.37	1.9	1.61	0.11
353	greisen	55	0.37	0.31	1.1	0.16
354	greisen	57	0.36	1.02	0.96	0.09
355	greisen	101	14.1	5.2	1.76	0.09
356	greisen	105	15.2	4.3	1.54	0.1
357	greisen	110	12.3	4.51	1.54	0.09
359	greisen	86	14	4.53	1.48	0.08
361	greisen	26	0.17	1.12	0.9	0.09
362	greisen	45	0.23	5.66	0.97	0.09
363	greisen	14	0.2	0.27	0.96	0.09
366	greisen	11	0.24	0.25	1.02	0.1
367	greisen	10	0.21	1.31	1.13	0.09
368	greisen	51	16.6	2.03	1.82	0.11
369	greisen	53	11.8	1.64	1.59	0.08
370	greisen	93	16.8	2.93	1.65	0.1
371	greisen	48	0.37	1.35	0.89	0.23
372	greisen	53	0.36	1.8	0.98	0.09
373	greisen	45	9.8	0.94	1.55	0.11
374	greisen	55	7.84	1.22	1.5	0.09
375	greisen	33	8.54	1.18	1.56	0.08
376	greisen	33	7.71	0.69	1.46	0.11
377	greisen	39	8.02	1.37	1.44	0.12
378	greisen	18	0.38	1.58	1.07	0.09
379	greisen	54	0.23	2.48	0.85	0.21
380	greisen	45	0.23	1.88	0.92	0.11
381	greisen	40	8.58	3.92	1.51	0.08
382	greisen	41	0.29	3.85	1.08	0.09
383	greisen	36	0.32	0.46	1.03	0.1
384	greisen	17	0.3	1.78	1.39	0.24
386	greisen	15	0.3	3.48	1.27	0.12
388	greisen	63	1.5	3.38	1.44	0.14
389	greisen	64	0.3	1.82	1.41	0.17
390	greisen	34	1.37	5.53	2.23	0.52
391	greisen	46	0.68	3.52	1.55	0.33
392	greisen	82	0.3	2.86	1.23	0.27
393	greisen	21	0.53	1.45	1.22	0.14
394	greisen	111	0.3	16.4	1.75	0.11
395	greisen	161	0.3	11.7	1.72	0.11
396	greisen	74	0.3	0.41	1.05	0.13
397	greisen	58	1.38	1.27	0.92	0.27
398	greisen	20	0.3	1.5	1.04	0.1
400	greisen	45	0.3	0.35	1.24	0.15
402	greisen	91	10.9	8.8	1.83	0.12
403	greisen	60	8.27	11.8	1.67	0.08
404	greisen	89	8.97	3.1	1.29	0.22
405	greisen	100	10.5	5.7	1.99	0.43
406	greisen	96	11.2	3.5	1.75	0.52
407	greisen	77	10.3	6.3	1.72	0.2
410	greisen	32	1.14	5.3	1.77	0.26
411	greisen	42	1.61	8.9	1.67	0.11
412	greisen	63	2.93	6.2	1.72	0.15
413	greisen	90	1.31	10.7	1.46	0.11
414	greisen	96	1.39	3.7	2.27	2.5
415	greisen	45	0.78	2.6	1.39	1.3
416	greisen	17	0.53	3.2	1.45	0.83
417	greisen	79	10	16.6	1.83	0.14
419	greisen	49	0.56	6	0.86	0.12
420	greisen	67	1.07	9.89	0.45	0.11
421	greisen	65	1.65	1.99	1	0.08
422	greisen	52	0.44	0.59	1	0.06
423	greisen	41	1.31	0.37	1.25	0.04
424	greisen	45	1	1.53	1.33	0.07
425	greisen	53	0.75	0.48	1.13	0.11
427	greisen	34	1.28	2.39	1.47	0.07
428	greisen	30	1.21	1.16	1.29	0.06
429	greisen	19	0.68	0.6	1.02	0.06
430	greisen	53	0.33	0.98	0.88	0.06
431	greisen	43	0.6	0.91	0.91	0.1
432	greisen	43	0.89	0.94	0.93	0.09
434	greisen	8.9	0.27	1.86	0.33	0.06
435	greisen	45	0.77	1.96	0.33	0.06
436	greisen	33	0.52	2.21	0.81	0.06
437	greisen	54	0.77	3.31	1.01	0.05
438	greisen	49	0.67	0.62	0.84	0.06
439	greisen	38	0.83	2.64	1	0.08
440	greisen	104	1.33	3.04	1.09	0.04
441	greisen	90	1.04	2.04	1.15	0.06
443	greisen	30	0.38	1.93	0.7	0.27
444	greisen	33	1.18	0.58	1.45	0.09
445	greisen	40	1.71	2.01	1.81	0.06
446	greisen	32	2.82	1.99	1.78	0.06
447	greisen	114	9.4	7.26	2.19	0.05
448	greisen	121	0.86	22.2	1.87	0.05
449	greisen	61	1.85	16.7	1.66	0.06
450	greisen	76	2.26	12.9	1.95	0.05
451	greisen	79	1.91	12.8	2.11	0.06
452	greisen	71	1.96	9.98	1.99	0.05
453	greisen	121	10.6	15.8	2.09	0.05
454	greisen	91	14.7	8.32	2.35	0.06
455	greisen	64	1.29	2.78	1.53	0.05
456	greisen	41	1	0.64	1.36	0.13
457	greisen	39	0.46	1.17	1.33	0.15
462	greisen	36	0.29	0.55	0.76	0.08
463	greisen	105	9.91	2.48	1.9	0.07
464	greisen	118	11.9	3.01	2.66	0.07
465	greisen	118	12.4	2.67	2.4	0.07
466	greisen	98	10.7	3.41	2.16	0.1
467	greisen	32	0.94	1.58	1.73	0.06
468	greisen	27	0.8	0.13	1.5	0.06
469	greisen	36	1.23	0.71	1.62	0.05
470	greisen	33	0.81	4.16	1.34	0.04
471	greisen	41	1.08	2.26	1.48	0.04
472	greisen	38	0.99	0.88	1.6	0.04
474	greisen	78	0.23	0.4	1.22	0.08
475	greisen	80	0.28	1.5	1.2	0.04
476	greisen	503	0.3	48.1	0.78	0.07
478	greisen	637	0.41	86.3	0.84	0.09
479	greisen	9.5	1.26	0.35	0.87	0.12
480	greisen	87	2.04	10.3	1.2	0.11
481	greisen	106	1.83	17.9	1.05	0.1
482	greisen	93	0.89	8.52	0.98	0.1
483	greisen	131	2.61	0.97	1.36	0.2
485	greisen	52	1.66	0.27	1.02	0.1
487	greisen	75	2.64	2.92	1	0.1
488	greisen	71	2.47	1.18	0.85	0.09
489	greisen	69	1.62	1.09	1.1	0.1
490	greisen	86	1.58	4.12	1.36	0.14
491	greisen	65	2.69	1.63	1.2	0.11
492	greisen	54	1.5	2.61	0.72	0.1
493	greisen	85	2.54	0.93	1.2	0.14
494	greisen	63	1.85	0.03	1.17	0.11
495	greisen	57	1.35	0.18	0.5	0.14
496	greisen	56	3.48	3.09	0.58	0.06
498	greisen	67	3.17	2.94	0.81	0.06
500	greisen	106	2.47	2.28	0.74	0.06
502	greisen	92	2.43	0.9	0.8	0.06
503	greisen	75	1.43	1.66	1.08	0.06
504	greisen	88	1.37	1.03	0.97	0.08
524	granite	232	7.1	4.6	1.08	0.19
525	granite	236	9	14.3	1.12	0.1
526	granite	132	8.6	14.1	2.91	0.06
527	granite	333	9.4	11	1.65	0.16
528	granite	212	6.7	9	1.84	0.17
529	granite	284	5.9	17	1.26	0.2
530	granite	313	5.8	19.2	1.6	0.2
531	granite	295	9.1	14.8	1.35	0.07
532	granite	299	5.2	23.5	1.53	0.08
533	granite	243	8.5	18.3	1.48	0.09
534	granite	258	5.7	26	1.65	0.08
538	granite	276	6	8.23	1.95	0.12
542	granite	269	9.4	37	1.69	0.16
553	granite	87	10.8	9.89	1.6	0.06
554	granite	99	6.47	5.6	1.86	0.05
556	granite	300	9.31	29.3	2.02	0.08
557	granite	264	10.5	42.5	1.77	0.05
558	granite	217	11.3	37	1.61	0.06
559	granite	224	11.7	41.4	1.53	0.05
560	granite	207	13.6	39.5	1.47	0.09
561	granite	239	12.4	24.7	1.51	0.05
562	granite	323	9.79	41	1.82	0.08
563	granite	258	9.97	36.3	1.66	0.05
564	granite	304	7.07	40	1.82	0.06
565	granite	259	8.52	20.1	2.01	0.04
566	granite	96	7.55	24.9	2.19	0.13
567	granite	245	8.7	23.1	1.89	0.15
568	granite	280	6.89	27.2	1.78	0.06
569	granite	418	10.9	28.8	1.65	0.06
570	granite	383	9.88	32.3	1.74	0.05
571	granite	245	9.12	31.2	1.98	0.09
572	granite	422	17	15	2.15	0.08
573	granite	120	10.2	13.2	1.92	0.06
575	granite	177	26.5	30.6	1.24	0.05
576	granite	188	23.8	37.3	1.4	0.05
577	granite	214	16	30.5	1.34	0.06
578	granite	286	9.56	20.2	1.52	0.06
579	granite	319	12.1	8.95	1.72	0.1
580	granite	137	6.13	12.6	2.15	0.05
581	granite	216	8.73	12.4	2.16	0.04
582	granite	212	9.98	31.9	1.43	0.05
583	granite	259	8.25	36.5	1.62	0.04
584	granite	245	7.09	37.2	1.7	0.04
585	granite	262	7.87	35.4	1.59	0.05
586	granite	239	10.6	28.2	1.51	0.04
587	granite	80	7.35	24.8	1.63	0.04
588	granite	235	8.7	18.3	1.63	0.1
589	granite	264	8.62	29.7	1.65	0.05
590	granite	243	6.9	20.2	1.74	0.04
592	granite	311	7.12	18	1.94	0.04
595	granite	220	7.4	42.2	2.07	0.06
596	granite	211	4.8	65.1	2.71	0.07
598	granite	324	7.3	44.8	2.5	0.1
601	granite	241	9	18.9	1.96	0.09
603	granite	348	9.3	16.5	1.89	0.14
605	granite	154	5.2	15.5	1.84	0.17
606	granite	265	7.4	14.3	2.02	0.07
607	granite	288	6.7	15.5	1.96	0.07
608	granite	250	6.6	17.1	1.65	0.08
609	granite	185	6.8	16.3	1.53	0.06
610	granite	161	7.1	16.9	1.51	0.08
611	granite	195	7.7	15.5	1.57	0.09
612	granite	199	8.4	18.3	1.61	0.07
613	granite	199	8.8	24.1	1.65	0.07
614	granite	256	8.7	28.5	1.77	0.08
615	granite	322	7.9	24.5	1.8	0.07
616	granite	370	6.8	25.1	2.09	0.08
617	granite	182	6.1	17.4	2.18	0.07
618	granite	342	9.3	15.8	1.98	0.08
619	granite	214	8.4	14.5	2.02	0.08
620	granite	184	7.7	20.8	1.99	0.08
621	granite	200	8.2	26.5	1.97	0.07
622	granite	182	5.6	28.7	1.87	0.07
623	granite	228	7.1	29.9	1.9	0.06
624	granite	198	7.5	24.2	1.82	0.06
625	granite	269	8.3	19.6	1.93	0.06
626	granite	228	6.6	25.8	2.06	0.06
627	granite	236	6.6	22.7	1.89	0.07
628	granite	194	6.4	20.3	1.75	0.07
629	granite	187	6.3	23.8	1.6	0.08
630	granite	258	6.7	10.9	1.76	0.09
632	granite	203	7.2	21.5	1.76	0.08
634	granite	213	8	26.5	1.91	0.12
635	granite	211	7.3	23.2	1.88	0.07
636	granite	260	6.3	19.4	1.84	0.11
637	granite	199	7.7	16.3	1.92	0.07
644	granite	205	10.1	16.5	1.45	0.07
695	granite	175	11.5	18.1	1.52	0.12
714	granite	124	24	23	0.92	0.47
718	granite	114	49	15	0.86	0.1
719	granite	332	4.01	54	1.04	2.1
720	granite	66	11.7	20	1	0.56
721	granite	150	19.4	37	1.86	0.3
722	granite	91	15	27	1.77	0.16
723	granite	87	17.8	24	1.3	0.08
724	granite	110	7.61	25	1.96	0.06
725	granite	233	17.2	38	1.45	0.03
726	granite	234	17.4	38	1.42	0.07
727	granite	205	16.9	26	1.37	0.06
728	granite	202	15.9	27	1.17	0.08
747	granite	198	60	20.9	0.9	0.209
748	granite	158	74	19.3	0.72	0.14
749	granite	156	46	16	0.84	0.155
750	granite	143	49	22.1	0.77	0.052
753	granite	149	52	23.4	0.8	0.123
756	granite	136	73	23.5	0.68	0.07
757	granite	138	73	26.9	0.66	0.121
781	granite	107	18.2	4.5	1.46	0.11
782	granite	127	15.9	12.8	1.01	0.16
783	granite	235	16.7	18.7	1.21	0.07
788	granite	132	19.4	26.8	0.95	0.06
790	granite	197	20.5	9.2	1.1	0.08
791	granite	310	34.1	14.9	0.72	0.07
792	granite	141	23.2	9.8	0.85	0.06
793	granite	117	27.7	15.5	1.01	0.07
794	granite	109	29.2	19	1	0.07
795	granite	149	20.8	12.2	1.19	0.09
804	granite	226	7.82	5.53	2.42	0.05
810	granite	69	12.5	14.9	0.71	0.09
819	granite	76	17.5	8.71	0.83	0.07
824	granite	117	18.3	11.1	0.74	0.04
834	granite	130	24.3	12.1	0.85	0.04
842	granite	106	30.9	12.8	0.62	0.03
851	granite	114	42	16.5	0.66	0.06
853	granite	121	45.9	11.5	0.59	0.04
856	granite	136	48.4	14	0.61	0.03
859	granite	119	57.9	17.6	0.62	0.03
862	granite	139	67.1	17.1	0.53	0.07
871	granite	131	88.8	23.1	0.55	0.03
873	granite	117	94.4	14.5	0.54	0.06
875	granite	166	109	19.6	0.51	0.05
908	pegmatite	231	1.97	0.38	3.26	0.03
1296	orogenic	1157.7	3.5	24.7	4.53	6.69
1297	orogenic	728.2	2.3	10.3	4.28	6.85
1298	orogenic	408.2	1	9.6	1.95	8.69
1299	orogenic	961.9	3.1	10.7	3.33	3.81
1300	orogenic	895.9	2.3	2.9	4.17	8.14
1301	orogenic	504	1.4	2.4	2.28	4.23
1302	orogenic	735.2	3.1	8.8	3.27	7.18
1303	orogenic	269.2	0.7	2.8	1.83	3.69
1304	orogenic	135.1	0.7	4.5	1.93	0.26
1305	orogenic	631.1	1.9	30.9	2.1	0.36
1306	orogenic	836.9	2	43.8	5.41	0.04
1307	orogenic	192.8	0.9	8.9	3.38	0.09
1308	orogenic	333.9	0.6	17.6	1.73	0.03
1309	orogenic	92.3	0.5	4.1	2.58	0.02
1310	orogenic	102.5	0.5	3.6	2.43	0.04
1311	orogenic	103.4	0.6	3.5	2.31	0.07
1312	orogenic	475.7	2	22.7	5.71	0.16
1313	orogenic	106.6	0.8	4.3	2.01	0.14
1314	orogenic	806	3.7	40.9	4.84	0.08
1315	orogenic	106.8	0.2	5.3	1.54	0.03
1316	orogenic	131	0.2	8.9	2.5	0.36
1317	orogenic	130.4	0.5	9	3.76	0.1
1319	orogenic	56.4	0.5	3.4	1.7	0.08
1320	orogenic	20	0.1	0.8	0.37	0.02
1321	orogenic	119.4	0.7	8.4	2.54	0.02
1322	orogenic	299	1.4	18.2	3.37	0.12
1323	orogenic	27	0.4	1.1	1.42	0.21
1324	orogenic	116.9	0.2	8.8	0.86	0.02
1326	orogenic	510.8	0.9	30	3.31	0.03
1327	orogenic	81.7	0.3	3	1.26	0.08
1328	orogenic	387.7	1.5	15.6	2.2	0.38
1329	orogenic	365.8	1.1	13.8	4.07	0.21
1330	orogenic	224.9	0.6	12.6	3.06	0.02
1331	orogenic	42.7	0.4	1.8	1.74	0.02
1332	orogenic	115.8	0.4	4.6	1.55	0.15
1333	orogenic	662.9	1.2	40.7	5.47	0.37
1334	orogenic	738.7	1.8	50.9	4.77	0.52
1335	orogenic	646	1.5	42.8	4.11	0.12
1336	orogenic	680.8	1.4	35.3	4.48	0.62
1340	orogenic	11.2	0.1	0.1	1.34	0.02
1341	orogenic	1223.8	3.5	71.2	5.9	0.05
1343	orogenic	33.4	0.2	1.2	1.12	0.12
1346	orogenic	446.9	1.5	27.5	3.47	0.14
1348	orogenic	663.9	1.7	39.5	4.38	0.06
1349	orogenic	1029	2.8	65.6	5.54	0.05
1350	orogenic	802.8	1.8	45.6	3.9	0.2
1352	orogenic	588.6	0.9	34.3	6.34	0.11
1354	orogenic	35.3	0.1	0.9	1.6	0.08
1355	orogenic	1904.6	0.6	67.6	1.3	0.14
1356	orogenic	1912.1	0.8	63.7	1.24	0.03
1357	orogenic	1393	0.5	55.5	2.02	0.02
1358	orogenic	1979.1	1.3	65.5	1.1	0.06
1359	orogenic	1990.3	0.9	67.3	1.59	0.04
1360	orogenic	1978.9	0.8	68	1.45	0.33
1361	orogenic	2389.8	1.2	105.9	3.32	0.1
1362	orogenic	283	1.23	3.234	12.239	1.481
1363	orogenic	92.02	0.229	0.746	6.622	0.267
1364	orogenic	86.867	0.192	2.074	7.19	0.063
1365	orogenic	81.7	0.139	0.879	8.92	0.123
1366	orogenic	3027	1.185	3.809	10.554	9.573
1367	orogenic	3054	2.479	10.016	14.717	8.316
1368	orogenic	3315	3.563	11.957	15.661	3.811
1369	orogenic	2132	0.615	22.469	17.025	2.348
1370	orogenic	2279	0.656	23.275	21.605	1.351
1371	orogenic	2470	1.097	24.025	35.855	1.041
1372	orogenic	3380	0.88	10.779	10.436	16.19
1373	orogenic	3209	1.063	1.106	9.466	8.135
1374	orogenic	2524	1.051	8.368	11.243	5.283
1375	orogenic	2974	0.68	8.061	12.149	33.619
1376	orogenic	3237	0.673	3.323	10.753	16.508
1377	orogenic	126	0.123	0.129	6.388	2.091
1378	orogenic	418	0.228	6.674	8.425	3.006
1379	orogenic	98.706	0.328	0.252	5.204	0.952
1380	orogenic	65.994	2.948	0.227	4.962	1.401
1381	orogenic	132	0.241	0.748	5.594	2.817
1382	orogenic	96.347	0.476	0.235	8.189	0.547
1383	orogenic	54.629	0.441	0.066	5.163	1.138
1384	orogenic	24.52	0.124	0.054	6.098	1.057
1385	orogenic	55.573	0.209	0.097	6.499	0.712
1386	orogenic	18.392	0.173	0.04	5.823	0.44
1387	orogenic	88.626	0.178	0.416	8.484	0.461
1388	orogenic	67.673	0.266	0.148	6.319	0.142
1389	orogenic	126	0.674	2.761	10.978	0.196
1390	orogenic	195	0.277	3.391	8.839	0.884
1391	orogenic	33.649	0.128	0.243	5.195	0.737
1392	orogenic	2005	0.87	28.467	13.783	4.01
1393	orogenic	3291	2.394	7.321	10.925	13.011
1394	orogenic	126	0.83	4.432	3.244	3.696
1395	orogenic	2486	4.74	2.744	9.658	12.465
1396	orogenic	1793	2.232	17.984	9.14	6.787
1397	orogenic	186	0.567	2.984	10.358	0.402
1398	orogenic	68.289	0.369	0.047	5.32	1.126
1399	orogenic	75.985	0.188	0.047	5.592	1.24
1400	orogenic	112	0.784	0.039	5.507	2.807
1401	orogenic	81.108	0.76	0.038	5.818	2.042
1402	orogenic	120	0.831	0.043	4.462	1.262
1403	orogenic	66.378	0.923	0.085	5.455	2.061
1404	orogenic	122	0.706	0.105	6.683	2.138
1405	orogenic	111	0.536	0.248	6.03	5.815
1406	orogenic	19.597	0.096	0.042	5.535	1.622
1407	orogenic	21.038	0.102	0.037	5.935	0.643
1408	orogenic	70.568	0.107	0.069	7.11	0.874
1409	orogenic	93.473	0.425	0.486	6.304	1.858
1410	orogenic	68.719	0.238	0.165	8.673	0.709
1411	orogenic	87.797	2.738	0.118	7.823	2.544
1412	orogenic	147	6.421	0.057	5.799	1.873
1413	orogenic	37.187	8.94	0.059	5.467	0.964
1414	orogenic	106	0.318	3.236	12.276	0.468
1415	orogenic	37.177	0.249	0.073	6.568	0.518
1416	orogenic	143	0.401	1.483	10.342	0.476
1417	orogenic	76.288	0.294	0.413	7.98	0.456
1418	orogenic	74.214	3.668	0.751	8.249	0.262
1419	orogenic	92.01	0.264	2.57	8.675	0.195
